ΕΞΣ/66051/Α4;Καμπύλες σωλήνος 110 μοίρες;εξαρτηματα-σωληνων-22.jpg; Για διάμετρο σωλήνα;22mm;;;;;;;;;;;;;;;
ΧΑΤΣ/510Ν;Ανθρωποθυρίδες αλουμινίου  ;ανθρωποθυριδες-5.jpg; Εσωτερικές διαστάσεις;34 x 20 cm;Εξωτερικές διαστάσεις;40 x 26 cm;;;;;;;;;;;;;
6/36/ΓΧΨ/14;Συρματόσχοινα γαλβανιζέ χαλύβδινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;670 γραμ/μέτρο;Θραύση;9.000 κιλά;;;;;;;;;;;;;
6/37/ΓΚΨ/16;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;886 γραμ/μέτρο;Θραύση;12.240κιλά;;;;;;;;;;;;;
6/36/ΓΧΨ/16;Συρματόσχοινα γαλβανιζέ χαλύβδινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;900 γραμ/μέτρο;Θραύση;12.800 κιλά;;;;;;;;;;;;;
6/37/ΓΚΨ/18;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;1.100 γραμ/μέτρο;Θραύση;15.000 κιλά;;;;;;;;;;;;;
6/36/ΓΧΨ/18;Συρματόσχοινα γαλβανιζέ χαλύβδινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;1230 γραμ/μέτρο;Θραύση;16.000 κιλά;;;;;;;;;;;;;
6/7/ΓΚΨ/2;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;14 γραμ/μέτρο;Θραύση;210 κιλά;;;;;;;;;;;;;
6/37/ΓΚΨ/20;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;1.135 γραμ/μέτρο;Θραύση;18.000 κιλά;;;;;;;;;;;;;
6/36/ΓΧΨ/20;Συρματόσχοινα γαλβανιζέ χαλύβδινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;1500 γραμ/μέτρο;Θραύση;18700 κιλά;;;;;;;;;;;;;
6/37/ΓΚΨ/22;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;1.635 γραμ/μέτρο;Θραύση;22.000 κιλά;;;;;;;;;;;;;
6/36/ΓΧΨ/22;Συρματόσχοινα γαλβανιζέ χαλύβδινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;1840 γραμ/μέτρο;Θραύση;22.600 κιλά;;;;;;;;;;;;;
