ΚΕΡ/6082Β;Kεραία vhf  τηλεσκοπική 6082;κεραιες-σκαφων-2.png;Προέλευση;Νέα Ζηλανδία;Μήκος;1 μέτρο;Marine gain;6 db;Συχνότητα;156-162 MHz;;;;
ΚΕΡ/6081Β;Kεραία vhf 6081;κεραιες-σκαφων-1.png;Προέλευση;Νέα Ζηλανδία;Μήκος;30 cm;Marine gain;2.4 db;Συχνότητα;156-162 MHz;;;;
SNOWLESS/1;Snowless 1 αλυσίδες χιονιού;αλυσιδες-χιονιου-1.jpg;Για ζάντα;145-235 (Ι.Χ);;;;;;;;;;
SNOWLESS/2;Snowless 2 αλυσίδες χιονιού;αλυσδιες-χιονιου-3.jpg;Για ζάντα;185-300 (Suv-Jeep);;;;;;;;;;
ΤΕΝ/ΠΛ/78;T-Top 78 ανοξείδωτο;τεντες-πλευσης-3.jpg;Σωλήνα;25mm;Ύψος;1.95 μέτρα;Φάρδος;εώς 1.10 μέτρο;Βάρος;20 κιλά;;;;
ΤΕΝ/ΠΛ/79;T-Top 79 αλουμινίου;τεντες-πλευσης-2.jpg;Αλουμίνιο;6063;Σωλήνα;40mm;Ύψος;2 μέτρα;Φάρδος;εώς 1 μέτρο;Καπέλο;1.60x1.30 μέτρα;Βάρος;30 κιλά
ΤΕΝΤ/ΠΛ/2;T-Top 80 αλουμινίου;τεντες-πλευσης-1.jpg;Ρυθμιζόμενο πλάτος;0-1.4 μέτρα;Ύψος;2.10 μέτρα;Καπέλο;2x1.6 μέτρα;Βάρος;38 κιλά;;;;
ΤΕΝ/60602;Tennex κουμπωτό;tennex-σκαφων.jpg;Βάση διατίθεται ξεχωριστά sku;60606;;;;;;;;;;
ΑΓΚ/ΜΠ/Α4/10;Άγκυρα Bruce 10 κιλά ανοξείδωτη;αγκυρες-σκαφων-3-1.jpg;Βάρος;10 κιλα;;;;;;;;;;
ΑΓΚ/ΜΠ/10;Άγκυρα Bruce 10 κιλά γαλβανιζέ;αγκυρες-σκαφων-13.jpg;Βάρος;10 κιλα;;;;;;;;;;
ΑΓΚ/ΜΠ/Α4/15;Άγκυρα Bruce 15 κιλά ανοξείδωτη;αγκυρες-σκαφων-3-1.jpg;Βάρος;15 κιλα;;;;;;;;;;
ΑΓΚ/ΜΠ/15;Άγκυρα Bruce 15 κιλά γαλβανιζέ;αγκυρες-σκαφων-13.jpg;Βάρος;15 κιλα;;;;;;;;;;
ΑΓΚ/ΜΠ/Α4/2;Άγκυρα Bruce 2 κιλά ανοξείδωτη;αγκυρες-σκαφων-3-1.jpg;Βάρος;2 κιλα;;;;;;;;;;
ΑΓΚ/ΜΠ/2.5;Άγκυρα Bruce 2.5 κιλά γαλβανιζέ;αγκυρες-σκαφων-13.jpg;Βάρος;2.5 κιλα;;;;;;;;;;
ΑΓΚ/ΜΠ/Α4/20;Άγκυρα Bruce 20 κιλά ανοξείδωτη;αγκυρες-σκαφων-3-1.jpg;Βάρος;20 κιλα;;;;;;;;;;
ΑΓΚ/ΜΠ/20;Άγκυρα Bruce 20 κιλά γαλβανιζέ;αγκυρες-σκαφων-13.jpg;Βάρος;20 κιλα;;;;;;;;;;
ΑΓΚ/ΜΠ/25;Άγκυρα Bruce 25 κιλά γαλβανιζέ;αγκυρες-σκαφων-13.jpg;Βάρος;25 κιλα;;;;;;;;;;
ΑΓΚ/ΜΠ/Α4/3.5;Άγκυρα Bruce 3.5 κιλά ανοξείδωτη;αγκυρες-σκαφων-3-1.jpg;Βάρος;3.5 κιλα;;;;;;;;;;
ΑΓΚ/ΜΠ/3.5;Άγκυρα Bruce 3.5 κιλά γαλβανιζέ;αγκυρες-σκαφων-13.jpg;Βάρος;3.5 κιλα;;;;;;;;;;
ΑΓΚ/ΜΠ/Α4/30;Άγκυρα Bruce 30 κιλά ανοξείδωτη;αγκυρες-σκαφων-3-1.jpg;Βάρος;30 κιλα;;;;;;;;;;
