postid;code1;code2;title;image;a1;v1;a2;v2;a3;v3;a4;v4;a5;v5;a6;v6
6190;ΑΤΤ038;ΑΤΤ038;Χρώματα  2 συστατικών πολουρεθάνης Attiva;χρωματα-σκαφων-2.jpg;Χρώμα πολουρεθάνης δύο συστατικών 750mlΧρώμα;ΜπεζΓυαλιστερόΔεν κιτρινίζειΧρήση σε;αλουμίνιο με marine primer υπόστρωμα.Καλυπτικότητα 10 τετραγωνικά/λίτροΕφαρμογή δεύτερης επικάλυψης;4 ώρες minimum/τρύψιμο μετά το πέρας 48 ωρών.Καθέλκυση;;;;;;;;
6191;ΑΤΤ037;ΑΤΤ037;Χρώματα  2 συστατικών πολουρεθάνης Attiva;χρωματα-σκαφων-2.jpg;Χρώμα πολουρεθάνης δύο συστατικών 750mlΧρώμα;ΠράσινοΓυαλιστερόΔεν κιτρινίζειΧρήση σε;αλουμίνιο με marine primer υπόστρωμα.Καλυπτικότητα 10 τετραγωνικά/λίτροΕφαρμογή δεύτερης επικάλυψης;4 ώρες minimum/τρύψιμο μετά το πέρας 48 ωρών.Καθέλκυση;;;;;;;;
6192;ΑΤΤ310;ΑΤΤ310;Χρώματα  2 συστατικών πολουρεθάνης Attiva;χρωματα-σκαφων-2.jpg;Χρώμα πολουρεθάνης δύο συστατικών 750mlΧρώμα;Γκρι-μπεζΓυαλιστερόΔεν κιτρινίζειΧρήση σε;αλουμίνιο με marine primer υπόστρωμα.Καλυπτικότητα 10 τετραγωνικά/λίτροΕφαρμογή δεύτερης επικάλυψης;4 ώρες minimum/τρύψιμο μετά το πέρας 48 ωρών.Καθέλκυση;;;;;;;;
6193;ΑΤΤ251;ΑΤΤ251;Χρώματα  2 συστατικών πολουρεθάνης Attiva;χρωματα-σκαφων-2.jpg;Χρώμα πολουρεθάνης δύο συστατικών 750mlΧρώμα;ΓκριΓυαλιστερόΔεν κιτρινίζειΧρήση σε;αλουμίνιο με marine primer υπόστρωμα.Καλυπτικότητα 10 τετραγωνικά/λίτροΕφαρμογή δεύτερης επικάλυψης;4 ώρες minimum/τρύψιμο μετά το πέρας 48 ωρών.Καθέλκυση;;;;;;;;
6194;ΑΤΤ119;ΑΤΤ119;Χρώματα  2 συστατικών πολουρεθάνης Attiva;χρωματα-σκαφων-2.jpg;Χρώμα πολουρεθάνης δύο συστατικών 750mlΧρώμα;Γκρι ανοιχτόΑΤΤ119ΓυαλιστερόΔεν κιτρινίζειΧρήση σε;αλουμίνιο με marine primer υπόστρωμα.Καλυπτικότητα 10 τετραγωνικά/λίτροΕφαρμογή δεύτερης επικάλυψης;4 ώρες minimum/τρύψιμο μετά το πέρας 48 ωρών.Καθέλκυση;;;;;;;;
6195;ΦΑΝ/C91006Β;ΦΑΝ/C91006Β;Φανοί πορείας Led -12 μέτρα ;φανοι-σκαφων-1.jpg;Σώμα;Μαυρο;Μήκος σκάφους;12 μέτρα;;;;;;;;
6197;ΦΑΝ/00111;ΦΑΝ/00111;Φανός πορείας πράσινος -12 μέτρα;φανοι-σκαφων-4.jpg;Σώμα;Μαυρο με χρώμιο;Μήκος σκάφους;12 μέτρα;Ύψος;6.5cm;;;;;;
6200;ΦΑΝ/00121;ΦΑΝ/00121;Φανός πορείας κόκκινος -12 μέτρα;φανοι-σκαφων-3.jpg;Σώμα;Μαυρο με χρώμιο;Μήκος σκάφους;12 μέτρα;Ύψος;6.5cm;;;;;;
6201;ΦΑΝ/00151;ΦΑΝ/00151;Φανός πορείας δίχρωμος -12 μέτρα;φανοι-σκαφων-5.jpg;Σώμα;Μαυρο με χρώμιο;Μήκος σκάφους;12 μέτρα;Ύψος;6.5cm;;;;;;
6202;ΦΑΝ/00131;ΦΑΝ/00131;Φανός πορείας εφίστιος -12 μέτρα;φανοι-σκαφων-7.jpg;Σώμα;Μαυρο με χρώμιο;Μήκος σκάφους;12 μέτρα;Ύψος;6.5cm;;;;;;
6203;ΦΑΝ/00141;ΦΑΝ/00141;Φανός πορείας κορώνης -12 μέτρα;φανοι-σκαφων-6.jpg;Σώμα;Μαυρο με χρώμιο;Μήκος σκάφους;12 μέτρα;Ύψος;6.5cm;;;;;;
6205;ΦΑΝ/C91006W;ΦΑΝ/C91006W;Φανοί πορείας Led -12 μέτρα ;φανοι-σκαφων-1-1.jpg;Σώμα;Άσπρο;Μήκος σκάφους;12 μέτρα;;;;;;;;
6206;ΦΑΝ/C91006S;ΦΑΝ/C91006S;Φανοί πορείας Led -12 μέτρα ;φανοι-σκαφων-2-1.jpg;Σώμα;Ανοξείδωτο;Μήκος σκάφους;12 μέτρα;;;;;;;;
6207;ΦΑΝ/00106;ΦΑΝ/00106;Φανός αγκυροβολίας περίβλεπτος λευκός -12 μέτρα;φανοι-σκαφων-29.jpg;Σώμα;Μαύρο;Dc;12 volt;Ύψος;7cm;Μήκος σκάφους;12 μέτρα;;;;
6208;ΦΑΝ/00120;ΦΑΝ/00120;Φανός αγκυροβολίας περίβλεπτος λευκός -12 μέτρα;φανοι-σκαφων-27.jpg;Σώμα;Μαύρο;Dc;12 volt;Ύψος;13cm;Μήκος σκάφους;12 μέτρα;;;;
6209;ΦΑΝ/00117;ΦΑΝ/00117;Φανοί αγκυροβολίας περίβλεπτοι/πορείας -12 μέτρα;φανοι-σκαφων-28.jpg;Σώμα;Ανοξείδωτο;Dc;12 volt;Ύψος;24cm;Μήκος σκάφους;12 μέτρα;;;;
6210;ΦΑΝ/00117L;ΦΑΝ/00117L;Φανοί αγκυροβολίας περίβλεπτοι/πορείας -12 μέτρα;φανοι-σκαφων-28.jpg;Σώμα;Ανοξείδωτο;Dc;12 volt;Ύψος;64cm;Μήκος σκάφους;12 μέτρα;;;;
6211;ΦΑΝ/50301;ΦΑΝ/50301;Φανός αγκυροβολίας περίβλεπτος -12 μέτρα;φωτα-σκαφων-57.jpg;Σώμα;Ανοξείδωτο;Dc;12 volt;Ύψος;25cm;Μήκος σκάφους;12 μέτρα;;;;
6212;ΦΑΝ/14016;ΦΑΝ/14016;Φανός αγκυροβολίας Led περίβλεπτος -12 μέτρα;φανοι-σκαφων-23.jpg;Σώμα;Αλουμίνιο;Dc;12 volt;Ύψος;9 cm;Μήκος σκάφους;12 μέτρα;;;;
6213;ΦΑΝ/0130;ΦΑΝ/0130;Φανός αγκυροβολίας Led περίβλεπτος -12 μέτρα;φανοι-σκαφων-24-1.jpg;Σώμα;Πλαστικό;Dc;12 volt;Ύψος;8 cm;Μήκος σκάφους;12 μέτρα;;;;
6214;ΦΑΝ/00126LD;ΦΑΝ/00126LD;Φανοί αγκυροβολίας Led περίβλεπτοι -12 μέτρα ;φανοι-σκαφων-22-1.jpg;Σώμα;Ανοξείδωτο;Dc;12 volt;Ύψος;24 cm;Μήκος σκάφους;12 μέτρα;;;;
6215;ΦΑΝ/00126LLD;ΦΑΝ/00126LLD;Φανοί αγκυροβολίας Led περίβλεπτοι -12 μέτρα ;φανοι-σκαφων-22-1.jpg;Σώμα;Ανοξείδωτο;Dc;12 volt;Ύψος;64 cm;Μήκος σκάφους;12 μέτρα;;;;
6216;ΦΑΝ/00110;ΦΑΝ/00110;Φανός αγκυροβολίας περίβλεπτος κουμπωτός -12 μέτρα;φανοι-σκαφων-1-1.jpg;Σώμα;Ανοξείδωτο;Dc;12 volt;Ύψος;61 cm;Μήκος σκάφους;12 μέτρα;;;;
6217;ΦΑΝ/00107;ΦΑΝ/00107;Φανός αγκυροβολίας περίβλεπτος σπαστός -12 μέτρα;φανοι-σκαφων-1.jpg;Σώμα;Ανοξείδωτο;Dc;12 volt;Ύψος;61 cm;Μήκος σκάφους;12 μέτρα;;;;
6233;ΦΑΝ/0111-Λ;ΦΑΝ/0111-Λ;Φανός πορείας πράσινος -12 μέτρα;φανοι-σκαφων-10.jpg;Σώμα;Λευκό με χρώμιο;Μήκος σκάφους;12 μέτρα;Ύψος;6.5cm;;;;;;
6235;ΦΑΝ/0121-Λ;ΦΑΝ/0121-Λ;Φανός πορείας κόκκινος -12 μέτρα;φανοι-σκαφων-11.jpg;Σώμα;Λευκό με χρώμιο;Μήκος σκάφους;12 μέτρα;Ύψος;6.5cm;;;;;;
6237;ΦΑΝ/00131-WH;ΦΑΝ/00131-WH;Φανός πορείας εφίστιος -12 μέτρα;φανοι-σκαφων-13.jpg;Σώμα;Λευκό με χρώμιο;Μήκος σκάφους;12 μέτρα;Ύψος;6.5cm;;;;;;
6239;ΦΑΝ/00141Λ;ΦΑΝ/00141Λ;Φανός πορείας κορώνης -12 μέτρα;φανοι-σκαφων-15.jpg;Σώμα;Λευκό με χρώμιο;Μήκος σκάφους;12 μέτρα;Ύψος;6.5cm;;;;;;
6242;ΦΑΝ/41402;ΦΑΝ/41402;Φανός πορείας πράσινος ανοξείδωτος -12 μέτρα;φανοι-σκαφων-21.jpg;Σώμα;Ανοξείδωτο;Μήκος σκάφους;12 μέτρα;Ύψος;7.5cm;;;;;;
6244;ΦΑΝ/41401;ΦΑΝ/41401;Φανός πορείας κόκκινος ανοξείδωτος -12 μέτρα;φανοι-σκαφων-22.jpg;Σώμα;Ανοξείδωτο;Μήκος σκάφους;12 μέτρα;Ύψος;7.5cm;;;;;;
6246;ΦΑΝ/41403;ΦΑΝ/41403;Φανός πορείας εφίστιος ανοξείδωτος -12 μέτρα;φανοι-σκαφων-24.jpg;Σώμα;Ανοξείδωτο;Μήκος σκάφους;12 μέτρα;Ύψος;7.5cm;;;;;;
6248;ΦΑΝ/41404;ΦΑΝ/41404;Φανός πορείας κορώνης ανοξείδωτος -12 μέτρα;φανοι-σκαφων-25.jpg;Σώμα;Ανοξείδωτο;Μήκος σκάφους;12 μέτρα;Ύψος;7.5cm;;;;;;
6250;ΦΑΝ/5780530;ΦΑΝ/5780530;Φανός πορείας κόκκινος -20 μέτρα;φανοι-σκαφων-18.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;7cm;;;;;;
6252;ΦΑΝ/5780550;ΦΑΝ/5780550;Φανός πορείας πράσινος -20 μέτρα;φανοι-σκαφων-20.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;7cm;;;;;;
6254;ΦΑΝ/5780560;ΦΑΝ/5780560;Φανός πορείας εφίστιος -20 μέτρα;φανοι-σκαφων-17.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;7cm;;;;;;
6256;ΦΑΝ/5780580;ΦΑΝ/5780580;Φανός πορείας κορώνης -20 μέτρα;φανοι-σκαφων-17.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;7cm;;;;;;
6257;ΦΑΝ/5780610;ΦΑΝ/5780610;Φανός πορείας δίχρωμος -20 μέτρα;φανοι-σκαφων-19.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;7cm;;;;;;
6266;ΦΑΝ/ΠΕΡ/13402;ΦΑΝ/ΠΕΡ/13402;Φανοί αγκυροβολίας περίβλεπτοι -20 μέτρα;φανοι-σκαφων-30.jpg;Σώμα;Πλαστικό λευκό;Dc;12 volt;Ύψος;9 cm;Μήκος σκάφους;20 μέτρα;;;;
6268;ΦΑΝ/ΠΕΡ/13400;ΦΑΝ/ΠΕΡ/13400;Φανός αγκυροβολίας περίβλεπτος -20 μέτρα;φανοι-σκαφων-31.jpg;Σώμα;Πλαστικό μαύρο;Dc;12 volt;Ύψος;9 cm;Μήκος σκάφους;20 μέτρα;;;;
6270;ΦΑΝ/ΠΕΡ/13401;ΦΑΝ/ΠΕΡ/13401;Φανός ακυβερνησίας περίβλεπτος κόκκινος -20 μέτρα;φανοι-σκαφων-32.jpg;Σώμα;Πλαστικό μαύρο;Dc;12 volt;Ύψος;9 cm;Μήκος σκάφους;20 μέτρα;;;;
6272;ΦΑΝ/ΠΕΡ/13501;ΦΑΝ/ΠΕΡ/13501;Φανός αγκυροβολίας περίβλεπτος -20 μέτρα;φανοι-σκαφων-33.jpg;Σώμα;Πλαστικό λευκό;Dc;12 volt;Ύψος;7.5 cm;Μήκος σκάφους;20 μέτρα;;;;
6274;ΦΑΝ/ΠΕΡ/13500;ΦΑΝ/ΠΕΡ/13500;Φανός αγκυροβολίας περίβλεπτος -20 μέτρα;φανοι-σκαφων-34.jpg;Σώμα;Πλαστικό μαύρο;Dc;12 volt;Ύψος;7.5 cm;Μήκος σκάφους;20 μέτρα;;;;
6276;ΦΑΝ/1113202;ΦΑΝ/1113202;Φανός αγκυροβολίας ανοξείδωτος περίβλεπτος -12 μέτρα;φανοι-σκαφων-35.jpg;Σώμα;Ανοξείδωτο;Dc;12 volt;Ύψος;7.5 cm;Μήκος σκάφους;12 μέτρα;;;;
6278;ΦΑΝ/11.136.20;ΦΑΝ/11.136.20;Φανός αγκυροβολίας ανοξείδωτος περίβλεπτος -20 μέτρα;φανοι-σκαφων-36.jpg;Σώμα;Ανοξείδωτο;Dc;12 volt;Ύψος;7.5 cm;Μήκος σκάφους;20 μέτρα;;;;
6280;ΦΑΝ/ΚΟΚ/417;ΦΑΝ/ΚΟΚ/417;Φανός πορείας κόκκινος -20 μέτρα;φανοι-σκαφων-37.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;12cm;;;;;;
6282;ΦΑΝ/ΠΡΑ/417;ΦΑΝ/ΠΡΑ/417;Φανός πορείας πράσινος -20 μέτρα;φανοι-σκαφων-38.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;12cm;;;;;;
6284;ΦΑΝ/ΕΦ/417;ΦΑΝ/ΕΦ/417;Φανός πορείας εφίστιος -20 μέτρα;φανοι-σκαφων-39.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;12cm;;;;;;
6286;ΦΑΝ/ΚΟΡ/417;ΦΑΝ/ΚΟΡ/417;Φανός πορείας κορώνης -20 μέτρα;φανοι-σκαφων-39.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;12cm;;;;;;
6287;ΦΑΝ/ΔΙΧ/417;ΦΑΝ/ΔΙΧ/417;Φανός πορείας δίχρωμος -20 μέτρα;φανοι-σκαφων-40.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;12cm;;;;;;
6289;ΦΑΝ/41171;ΦΑΝ/41171;Φανός πορείας κόκκινος ανοξείδωτος -20 μέτρα;φανοι-σκαφων-41.jpg;Σώμα;Ανοξείδωτο;Μήκος σκάφους;20 μέτρα;Ύψος;11cm;;;;;;
6291;ΦΑΝ/41172;ΦΑΝ/41172;Φανός πορείας πράσινος ανοξείδωτος -20 μέτρα;φανοι-σκαφων-42.jpg;Σώμα;Ανοξείδωτο;Μήκος σκάφους;20 μέτρα;Ύψος;11cm;;;;;;
6293;ΦΑΝ/41173;ΦΑΝ/41173;Φανός πορείας εφίστιος ανοξείδωτος -20 μέτρα;φανοι-σκαφων-43.jpg;Σώμα;Ανοξείδωτο;Μήκος σκάφους;20 μέτρα;Ύψος;11cm;;;;;;
6295;ΦΑΝ/41174;ΦΑΝ/41174;Φανός πορείας κορώνης ανοξείδωτος -20 μέτρα;φανοι-σκαφων-43.jpg;Σώμα;Ανοξείδωτο;Μήκος σκάφους;20 μέτρα;Ύψος;11cm;;;;;;
6296;ΦΑΝ/ΠΕΡ/Κ/425;ΦΑΝ/ΠΕΡ/Κ/425;Φανός ακυβερνησίας βάσης κόκκινος -20 μέτρα;φανοι-σκαφων-44.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;14.5cm;;;;;;
6299;ΦΑΝ/ΠΡΑ/425;ΦΑΝ/ΠΡΑ/425;Φανός πορείας βάσης πράσινος -20 μέτρα;φανοι-σκαφων-45.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;14.5cm;;;;;;
6301;ΦΑΝ/ΕΦ/425;ΦΑΝ/ΕΦ/425;Φανός πορείας βάσης εφίστιος -20 μέτρα;φανοι-σκαφων-46.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;14.5cm;;;;;;
6303;ΦΑΝ/ΚΟΚ/425;ΦΑΝ/ΚΟΚ/425;Φανός πορείας βάσης κόκκινος -20 μέτρα;φανοι-σκαφων-47.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;14.5cm;;;;;;
6305;ΦΑΝ/ΠΕΡ/Λ/425;ΦΑΝ/ΠΕΡ/Λ/425;Φανός αγκυροβολίας βάσης λευκός -20 μέτρα;φανοι-σκαφων-48.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;14.5cm;;;;;;
6307;ΦΑΝ/ΚΟΡ/425;ΦΑΝ/ΚΟΡ/425;Φανός πορείας βάσης κορώνης -20 μέτρα;φανοι-σκαφων-46.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;14.5cm;;;;;;
6308;ΦΑΝ/ΕΟ/ΠΕ/ΠΡ;ΦΑΝ/ΕΟ/ΠΕ/ΠΡ;Φανός περίβλεπτος βάσης αλιείας -20 μέτρα;φανοι-σκαφων-49.jpg;Σώμα;Μαύρο πλαστικό;Μήκος σκάφους;20 μέτρα;Ύψος;14.5cm;;;;;;
6310;ΦΑΝ/0085-LD;ΦΑΝ/0085-LD;Φανός πορείας δίχρωμος επικαθήμενος Led -12 μέτρα;φανοι-σκαφων-51-1.jpg;Σώμα;Λευκό;Μήκος σκάφους;12 μέτρα;Φάρδος;6.5cm;;;;;;
6312;ΦΑΝ/0082-LD;ΦΑΝ/0082-LD;Φανός πορείας κόκκινος επικαθήμενος Led -12 μέτρα;φανοι-σκαφων-52-1.jpg;Σώμα;Λευκό;Μήκος σκάφους;12 μέτρα;Φάρδος;6.5cm;;;;;;
6314;ΦΑΝ/0081-LD;ΦΑΝ/0081-LD;Φανός πορείας πράσινος επικαθήμενος Led -12 μέτρα;φανοι-σκαφων-53-1.jpg;Σώμα;Λευκό;Μήκος σκάφους;12 μέτρα;Φάρδος;6.5cm;;;;;;
6315;ΦΑΝ/000154;ΦΑΝ/000154;Φανός πορείας δίχρωμος ανοξείδωτος επικαθήμενος Led -12 μέτρα;φανοι-σκαφων-53.jpg;Σώμα;Λευκό;Μήκος σκάφους;12 μέτρα;Φάρδος;6.5cm;Μήκος;10cm;;;;
6317;ΦΑΝ/00153;ΦΑΝ/00153;Φανός πορείας δίχρωμος ανοξείδωτος επικαθήμενος Led -12 μέτρα;φανοι-σκαφων-50.jpg;Σώμα;Λευκό;Μήκος σκάφους;12 μέτρα;Φάρδος;6.5cm;Μήκος;5cm;;;;
6319;ΦΑΝ/00195;ΦΑΝ/00195;Φανοί πορείας χωνευτοί ανοξείδωτοι-12 μέτρα;φανοι-σκαφων-54.jpg;Σώμα;Ανοξείφωτο;Μήκος σκάφους;12 μέτρα;Μήκος;20cm;;;;;;
6321;ΦΑΝ/00197;ΦΑΝ/00197;Φανοί πορείας εξωτερικοί ανοξείδωτοι-12 μέτρα;φανοι-σκαφων-55.jpg;Σώμα;Ανοξείδωτο;Μήκος σκάφους;12 μέτρα;Μήκος;10cm;;;;;;
6324;ΦΑΝ/00194;ΦΑΝ/00194;Φανοί πορείας εξωτερικοί πλαστικοί-12 μέτρα;φανοι-σκαφων-56.jpg;Σώμα;Εξωτερικοί;Μήκος σκάφους;12 μέτρα;Μήκος;14cm;;;;;;
6326;ΦΑΝ/00100;ΦΑΝ/00100;Φανός καταστρώματος και εφίστιος -12 μέτρα;φανοι-σκαφων-57.jpg;Σώμα;Μαυρο;Μήκος σκάφους;12 μέτρα;Μήκος;12cm;;;;;;
6335;ΠΛΑΦ/10402;ΠΛΑΦ/10402;Φώτα μακρόστενα ρυθμιζόμενα με διακόπτη ;φωτα-σκαφων-61.jpg;Σώμα;Γκρι;Dc;10-30v;ΠΛΑΦ/10402Φωτισμός;Λευκό;Μήκος;34cm;;;;
6337;ΠΛΑΦ/10403;ΠΛΑΦ/10403;Φώτα μακρόστενα ρυθμιζόμενα με διακόπτη ;φωτα-σκαφων-61.jpg;Σώμα;Γκρι;Dc;10-30v;ΠΛΑΦ/10402Φωτισμός;Λευκό;Μήκος;46.5cm;;;;
6338;ΠΛΑ/Ο/5/LD;ΠΛΑ/Ο/5/LD;Φως ορειχάλκινο εξωτερικό χωνευτό με διακόπτη λευκό 18 Led;φωτα-σκαφων-62.jpg;Σώμα;Ορειχάλκινο;Dc;10-30v;Φωτισμός;Ζεστό λευκό;Διάμετρος;15cm;;;;
6340;ΠΛΑ/RO/ΠΛ/6/LD;ΠΛΑ/RO/ΠΛ/6/LD;Φως ανοξείδωτο εξωτερικό με διακόπτη λευκό 6 Led;φωτα-σκαφων-63.jpg;Σώμα;Ανοξείδωτο;Dc;10-30v;Φωτισμός;Ζεστό λευκό;Διάμετρος;15cm;;;;
6342;ΠΛΑ/RO/Τ/6/LD;ΠΛΑ/RO/Τ/6/LD;Φως ανοξείδωτο εξωτερικό με διακόπτη λευκό 6 Led;φωτα-σκαφων-64.jpg;Σώμα;Ανοξείδωτο;Βάση;Πλαστική στο χρώμα ξύλου;Dc;10-30v;Φωτισμός;Ζεστό λευκό;Διάμετρος;12.5cm;;
6345;ΠΛΑ/RO/6/LD;ΠΛΑ/RO/6/LD;Φως ανοξείδωτο χωνευτό με διακόπτη λευκό 6 Led;φωτα-σκαφων-65.jpg;Σώμα;Ανοξείδωτο;Dc;10-30v;Φωτισμός;Ζεστό λευκό;Διάμετρος;15cm;;;;
6347;ΠΛΑ/RO/Μ/6/LD;ΠΛΑ/RO/Μ/6/LD;Φως ορειχάλκινο χωνευτό με διακόπτη λευκό 6 Led;φωτα-σκαφων-66.jpg;Σώμα;Ορειχάλκινο;Dc;10-30v;Φωτισμός;Ζεστό λευκό;Διάμετρος;15cm;;;;
6349;ΠΛΑ/RO/Μ/Π/6;ΠΛΑ/RO/Μ/Π/6;Φώτα ορειχάλκινα εξωτερικά με διακόπτη λευκό ;φωτα-σκαφων-67.jpg;Σώμα;Ορειχάλινο;Dc;10-30v;Φωτισμός;Ζεστό λευκό;Διάμετρος;15cm;;;;
6351;ΠΛΑ/RO/Μ/Τ/6;ΠΛΑ/RO/Μ/Τ/6;Φώτα ορειχάλκινα εξωτερικά με διακόπτη λευκό ;φωτα-σκαφων-68.jpg;Σώμα;Ορειχάλκινο;Βάση;Πλαστική στο χρώμα ξύλου;Dc;10-30v;Φωτισμός;Ζεστό λευκό;Διάμετρος;15cm;;
6353;ΦΩΣ/1429;ΦΩΣ/1429;Φως σπιράλ με διακόπτη και πρίζα λευκό Led;φωτα-σκαφων-70.jpg;Dc;12v;Φωτισμός;Λευκό;Σπιράλ;5mm x 38cm;;;;;;
6355;ΣΠΟΤ/00146-LD;ΣΠΟΤ/00146-LD;Φως πασσαρέλας χωνευτό ανοξείδωτο;φωτα-σκαφων-71.jpg;Μήκος;13cm;Πλάτος;8.5cm;;;;;;;;
6357;ΤΑΙΝΙΑ/LED/5050;ΤΑΙΝΙΑ/LED/5050;Ταινία Led;φωτα-σκαφων-72.jpg;Ισχύς;14.4w/μέτρο;Dc;12v;Συσκευασία;5 μέτρα σε ρολλό;;;;;;
6359;ΠΥΞ/70031-BK;ΠΥΞ/70031-BK;Πυξίδα βάσης μαύρη;πυξιδες-σκαφων-1.jpg;Διάμετρος;8.3cm;Ύψος;7.5cm;;;;;;;;
6361;ΠΥΞ/70031-WH;ΠΥΞ/70031-WH;Πυξίδα βάσης λευκή;πυξιδες-σκαφων-2.jpg;Διάμετρος;8.3cm;Ύψος;7.5cm;;;;;;;;
6363;ΠΥΞ/70032-BK;ΠΥΞ/70032-BK;Πυξίδα βάσης μαύρη με φως;πυξιδες-σκαφων-4.jpg;Διάμετρος;10cm;Ύψος;15cm;;;;;;;;
6366;ΠΥΞ/70032-WH;ΠΥΞ/70032-WH;Πυξίδα βάσης λευκή με φως;πυξιδες-σκαφων-3.jpg;Διάμετρος;10cm;Ύψος;15cm;;;;;;;;
6368;ΠΥΞ/70020;ΠΥΞ/70020;Πυξίδα χειρός με καπάκι;πυξιδες-σκαφων-5.jpg;Χρώμα;πράσινο;Μήκος;7.8cm;;;;;;;;
6370;ΠΥΞ/2003;ΠΥΞ/2003;Πυξίδα χειρός Riviera;πυξιδες-σκαφων-6.jpg;Χρώμα;Μπλε;Μήκος;8cm;;;;;;;;
6372;ΠΥΞ/0301;ΠΥΞ/0301;Πυξίδα βάσης Riviera;πυξιδες-σκαφων-7.jpg;Μήκος;6cm;Διάμετρο;6cm;;;;;;;;
6374;ΠΥΞ/0554/Λ;ΠΥΞ/0554/Λ;Πυξίδα βάσης λευκή με φως Riviera;πυξιδες-σκαφων-8.jpg;Διάμετρος;13cm;Ύψος;13cm;;;;;;;;
6376;ΠΥΞ/0554/Μ;ΠΥΞ/0554/Μ;Πυξίδα βάσης μαύρη με φως Riviera;πυξιδες-σκαφων-9.jpg;Διάμετρος;13 cm;Ύψος;13.5cm;;;;;;;;
6378;ΠΥΞ/0116;ΠΥΞ/0116;Πυξίδα βάσης μαύρη με φως Riviera;πυξιδες-σκαφων-10.jpg;Διάμετρος;11cm;Ύψος;12cm;;;;;;;;
6380;ΠΥΞ/0405;ΠΥΞ/0405;Πυξίδα βάσης λευκή Riviera;πυξιδες-σκαφων-11.jpg;Διάμετρος;10 cm;Ύψος;5.7cm;;;;;;;;
6382;ΠΥΞ/SILVA;ΠΥΞ/SILVA;Πυξίδα βάσης μαύρη Silva;πυξιδες-σκαφων-12.jpg;Διάμετρος;7cm;Ύψος;7cm;;;;;;;;
6384;ΠΥΞ/0311;ΠΥΞ/0311;Πυξίδα χωνευτή γκρι Riviera;πυξιδες-σκαφων-13.jpg;Χρώμα;Γκρι;Διάμετρος;14cm;Τρύπα;8.9cm;;;;;;
6386;ΠΥΞ/0144;ΠΥΞ/0144;Πυξίδα χωνευτή μαύρη Riviera;πυξιδες-σκαφων-14.jpg;Χρώμα;Μαύρη;Διάμετρος;14cm;Τρύπα;8.9cm;;;;;;
6388;ΠΥΞ/0017;ΠΥΞ/0017;Πυξίδα χωνευτή μαύρη Riviera με φως;πυξιδες-σκαφων-22.jpg;Χρώμα;Μαύρη;Διάμετρος;18cm;Τρύπα;15.5cm;;;;;;
6390;ΠΥΞ/F95;ΠΥΞ/F95;Πυξίδα χωνευτή λευκή Suunto με φως;πυξιδες-σκαφων-16.jpg;Χρώμα;Λευκό;Τρύπα;9.6cm;;;;;;;;
6392;ΠΥΞ/4305;ΠΥΞ/4305;Πυξίδα χωνευτή μπουλμέ μαύρη 11cm Riviera με φως;πυξιδες-σκαφων-17.jpg;Χρώμα;Μαύρη;Διάμετρος;14 cm;Τρύπα;11 cm;Ύψος;12 cm;;;;
6394;ΠΥΞ/9301;ΠΥΞ/9301;Πυξίδα διoπτεύσεως χειρός μαύρη Riviera με φως;πυξιδες-σκαφων-18.jpg;Χρώμα;Μαύρη;Μήκος;17cm;;;;;;;;
6396;ΠΥΞ-3050;ΠΥΞ-3050;Πυξίδα διoπτεύσεως χειρός μαύρη Suunto με φως;πυξιδες-σκαφων-19.jpg;Χρώμα;Μαύρη;Μήκος;15cm;;;;;;;;
6399;ΛΑΜ/3106-Λ;ΛΑΜ/3106-Λ;Λάμπα Led Festoon Λευκή;λαμπες-σκαφων-led-1.jpg;Υψος;2.6cm;Dc;10-30v;;;;;;;;
