ΚΩΔΙΚΟΣ,ΠΕΡΙΓΡΑΦΗ,ΔΟΧΕΙΟ,ΧΡΩΜΑ,ΤΥΠΟΣ,ΔΙΑΛ/ΚΟ,ΒΑΡΟΣ (kgs)
ΑΤΤ047,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΚΟΚΚΙΝΟ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ044,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΛΕΥΚΟ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ114,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΚΑΦΕ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ39,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΓΚΡΙ ΑΝΟΙΧΤΟ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ049,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΠΡΑΣΙΝΟ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ050,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΠΡΑΣΙΝΟ ΣΚ.,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ048,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΜΑΥΡΟ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ105,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΚΥΠΑΡΙΣΣΙ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ109,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΕΚΡΟΥ,ΕΝΟΣ ΣΥΣΤ.,110,13
ΑΤΤ250,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD,750ml,ΚΙΤΡΙΝΟ,ΕΝΟΣ ΣΥΣΤ.,110,13
