ΚΩΔΙΚΟΣ,ΠΕΡΙΓΡΑΦΗ,,ΔΙΑΜΕΤΡΟΣ (mm),,ΦΟΡΤΙΟ ΑΣΦ. (kgs)
 Α347/7/8,  ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347,,22mm,,6500
 Α347/1,  ΚΟΥΛΟΥΡΙΑ ΤΡΙΠΛΑ ΑΡΤΑΝΗΣ Α347,,25mm,,8500
 Α643/1,  ΚΟΥΛΟΥΡΙΑ ΦΟΡΤΙΟΥ  ΣΤΡΟΓΓΥΛΑ,,25mm,,8500
 Α643/1/1/4,  ΚΟΥΛΟΥΡΙΑ ΦΟΡΤΙΟΥ  ΣΤΡΟΓΓΥΛΑ,,32mm,,13000
 Α643/1/1/8,  ΚΟΥΛΟΥΡΙΑ ΦΟΡΤΙΟΥ  ΣΤΡΟΓΓΥΛΑ,,29mm,,9500
 Α643/1/3/8,  ΚΟΥΛΟΥΡΙΑ ΦΟΡΤΙΟΥ  ΣΤΡΟΓΓΥΛΑ,,35mm,,14500
 S311/1/2,  ΓΑΝΤΖΟΙ ΡΥΘΜΙΣΕΩΣ ΑΛΥΣΙΔΑΣ  S311,,12mm,,5200
 S311/3/8,  ΓΑΝΤΖΟΙ ΡΥΘΜΙΣΕΩΣ ΑΛΥΣΙΔΑΣ  S311,,10mm,,3200
 S311/5/16,  ΓΑΝΤΖΟΙ ΡΥΘΜΙΣΕΩΣ ΑΛΥΣΙΔΑΣ  S311,,8mm,,2000
 S311/5/8,  ΓΑΝΤΖΟΙ ΡΥΘΜΙΣΕΩΣ ΑΛΥΣΙΔΑΣ  S311,,16mm,,7500
 S314/1/2,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ  S314 ,,12mm,,5200
 S314/1/4,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ  S314 ,,6mm,,1000
 S314/3/8,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ  S314 ,,10mm,,3200
 S314/5/16,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ  S314 ,,8mm,,2000
 S314/5/8,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ  S314 ,,16mm,,7500
 S315/1/2,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΠΙΡΟ,,12mm,,5200
 S315/3/8,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΠΙΡΟ,,10mm,,3200
 S315/5/16,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΠΙΡΟ,,8mm,,2000
 S315/5/8,  ΓΑΝΤΖΟΙ ΑΛΥΣΙΔΑΣ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΠΙΡΟ,,16mm,,7500
 S316/1/2,  ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΜΑΤΙ',,12mm,,5200
 S316/3/8,  ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΜΑΤΙ,,10mm,,3200
 S316/5/16,  ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΜΕ ΠΙΣΩ ΑΣΦΑΛΕΙΑ ΚΑΙ ΜΑΤΙ,,8mm,,2000
 S317/1/2,  ΓΑΝΤΖΟΙ  ΣΥΡΜΑΤΟΣΧΟΙΝΟΥ ΣΥΡΟΜΕΝΟΙ,,12mm,,5200
 S317/3/8,  ΓΑΝΤΖΟΙ  ΣΥΡΜΑΤΟΣΧΟΙΝΟΥ ΣΥΡΟΜΕΝΟΙ,,10mm,,3200
 S317/5/8,  ΓΑΝΤΖΟΙ  ΣΥΡΜΑΤΟΣΧΟΙΝΟΥ ΣΥΡΟΜΕΝΟΙ,,16mm,,7500
 S325/1/2,  ΚΛΕΙΔΙΑ ΩΜΕΓΑ S325 ,,12mm,,5200
 S325/3/8,  ΚΛΕΙΔΙΑ ΩΜΕΓΑ S325 ,,10mm,,3200
 S325/5/16,  ΚΛΕΙΔΙΑ ΩΜΕΓΑ S325 ,,8mm,,2000
 S325/5/8,  ΚΛΕΙΔΙΑ ΩΜΕΓΑ S325 ,,16mm,,7500
