ΓΑΝ/Φ/Σ/2;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ;ΦΟΡΤ. ΑΣΦ. (kgs);2000;;;;
ΓΑΝ/Φ/Σ/3;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ;ΦΟΡΤ. ΑΣΦ. (kgs);3000;;;;
ΓΑΝ/Φ/Σ/5;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ;ΦΟΡΤ. ΑΣΦ. (kgs);5000;;;;
ΓΑΝ/Φ/Σ/7.5;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ;ΦΟΡΤ. ΑΣΦ. (kgs);7500;;;;
ΓΑΝ/Φ/Σ/Α4/1;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ ΙΝΟΧ;ΦΟΡΤ. ΑΣΦ. (kgs);1000;;;;
ΓΑΝ/Φ/Σ/Α4/1.5;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ ΙΝΟΧ;ΦΟΡΤ. ΑΣΦ. (kgs);1500;;;;
ΓΑΝ/Φ/Σ/Α4/150;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ ΙΝΟΧ;ΦΟΡΤ. ΑΣΦ. (kgs);150;;;;
ΓΑΝ/Φ/Σ/Α4/350;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ ΙΝΟΧ;ΦΟΡΤ. ΑΣΦ. (kgs);350;;;;
ΓΑΝ/Φ/Σ/Α4/650;ΓΑΝΤΖΟΙ ΦΟΡΤΙΟΥ ΣΤΡΙΦΤΑΡΙ ΙΝΟΧ;ΦΟΡΤ. ΑΣΦ. (kgs);650;;;;
ΚΛ/80004;ΓΑΝΤΖΑΚΙΑ ΛΑΣΤΙΧΟΥ ΠΛΑΣΤΙΚΟ;ΔΙΑΜΕΤΡΟΣ;4mm;;;;
ΚΛ/80005;ΓΑΝΤΖΑΚΙΑ ΛΑΣΤΙΧΟΥ ΠΛΑΣΤΙΚΟ;ΔΙΑΜΕΤΡΟΣ;5mm;;;;
ΚΛ/80006;ΓΑΝΤΖΑΚΙΑ ΛΑΣΤΙΧΟΥ ΠΛΑΣΤΙΚΟ;ΔΙΑΜΕΤΡΟΣ;6mm;;;;
ΚΛ/80008;ΓΑΝΤΖΑΚΙΑ ΛΑΣΤΙΧΟΥ ΠΛΑΣΤΙΚΟ;ΔΙΑΜΕΤΡΟΣ;8mm;;;;
