ΚΩΔΙΚΟΣ ,ΠΕΡΙΓΡΑΦΗ ,ΔΟΧΕΙΟ,ΧΡΩΜΑ,ΤΥΠΟΣ,ΔΙΑΛ/ΚΟ
ΑΤΤ038,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΜΠΕΖ,ΔΥΟ ΣΥΣΤ.,130
ΑΤΤ037,ΧΡΩΜAΤΑ ΔΥΟ ΣΥΣΤΑΤΙΚΩΝ VIVA,750ml,ΠΡΑΣΙΝΟ,ΔΥΟ ΣΥΣΤ.,130
ΑΤΤ047,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD ,750ml,ΚΟΚΚΙΝΟ,ΕΝΟΣ ΣΥΣΤ.,110
ΑΤΤ044,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD ,750ml,ΛΕΥΚΟ,ΕΝΟΣ ΣΥΣΤ.,110
ΑΤΤ114,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD ,750ml,ΚΑΦΕ,ΕΝΟΣ ΣΥΣΤ.,110
ΑΤΤ39,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD ,750ml,ΓΚΡΙ ΑΝΟΙΧΤΟ,ΕΝΟΣ ΣΥΣΤ.,110
ΑΤΤ049,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD ,750ml,ΠΡΑΣΙΝΟ,ΕΝΟΣ ΣΥΣΤ.,110
ΑΤΤ050,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD ,750ml,ΠΡΑΣΙΝΟ ΣΚ.,ΕΝΟΣ ΣΥΣΤ.,110
ΑΤΤ048,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD ,750ml,ΜΑΥΡΟ,ΕΝΟΣ ΣΥΣΤ.,110
ΑΤΤ105,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD ,750ml,ΚΥΠΑΡΙΣΣΙ,ΕΝΟΣ ΣΥΣΤ.,110
ΑΤΤ109,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD ,750ml,ΕΚΡΟΥ,ΕΝΟΣ ΣΥΣΤ.,110
ΑΤΤ250,ΧΡΩΜΑΤΑ ΕΝΟΣ ΣΥΣΤΑΤΙΚΟΥ FISHERGUARD ,750ml,ΚΙΤΡΙΝΟ,ΕΝΟΣ ΣΥΣΤ.,110
